Ticks: 00000004	PC: 0100	NOP	Executing instruction: 00	Next two opcodes: (c3, 13).	Register A: 01 Register BC: 0013 Register DE: 00d8 Register HL: 014d	Flags: Z-HC
Ticks: 00000016	PC: 0101	JP	Executing instruction: c3	Next two opcodes: (13, 02).	Register A: 01 Register BC: 0013 Register DE: 00d8 Register HL: 014d	Flags: Z-HC
Ticks: 00000032	PC: 0213	LD	Executing instruction: 21	Next two opcodes: (00, 40).	Register A: 01 Register BC: 0013 Register DE: 00d8 Register HL: 014d	Flags: Z-HC
Ticks: 00000044	PC: 0216	JP	Executing instruction: c3	Next two opcodes: (00, 02).	Register A: 01 Register BC: 0013 Register DE: 00d8 Register HL: 4000	Flags: Z-HC
Ticks: 00000052	PC: 0200	LD	Executing instruction: 47	Next two opcodes: (11, 00).	Register A: 01 Register BC: 0013 Register DE: 00d8 Register HL: 4000	Flags: Z-HC
Ticks: 00000064	PC: 0201	LD	Executing instruction: 11	Next two opcodes: (00, c0).	Register A: 01 Register BC: 0113 Register DE: 00d8 Register HL: 4000	Flags: Z-HC
Ticks: 00000072	PC: 0204	LD	Executing instruction: 0e	Next two opcodes: (10, 2a).	Register A: 01 Register BC: 0113 Register DE: c000 Register HL: 4000	Flags: Z-HC
Ticks: 00000080	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 01 Register BC: 0110 Register DE: c000 Register HL: 4001	Flags: Z-HC
Ticks: 00000084	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c3 Register BC: 0110 Register DE: c000 Register HL: 4001	Flags: Z-HC
Ticks: 00000088	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c3 Register BC: 0110 Register DE: c000 Register HL: 4001	Flags: Z-HC
Ticks: 00000096	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c3 Register BC: 0110 Register DE: c001 Register HL: 4001	Flags: ---C
Ticks: 00000108	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c3 Register BC: 0110 Register DE: c001 Register HL: 4002	Flags: ---C
Ticks: 00000112	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 20 Register BC: 0110 Register DE: c001 Register HL: 4002	Flags: ---C
Ticks: 00000116	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 20 Register BC: 0110 Register DE: c001 Register HL: 4002	Flags: ---C
Ticks: 00000124	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 20 Register BC: 0110 Register DE: c002 Register HL: 4002	Flags: ---C
Ticks: 00000136	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 20 Register BC: 0110 Register DE: c002 Register HL: 4003	Flags: ---C
Ticks: 00000140	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c2 Register BC: 0110 Register DE: c002 Register HL: 4003	Flags: ---C
Ticks: 00000144	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c2 Register BC: 0110 Register DE: c002 Register HL: 4003	Flags: ---C
Ticks: 00000152	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c2 Register BC: 0110 Register DE: c003 Register HL: 4003	Flags: ---C
Ticks: 00000164	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c2 Register BC: 0110 Register DE: c003 Register HL: 4004	Flags: ---C
Ticks: 00000168	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: d6 Register BC: 0110 Register DE: c003 Register HL: 4004	Flags: ---C
Ticks: 00000172	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: d6 Register BC: 0110 Register DE: c003 Register HL: 4004	Flags: ---C
Ticks: 00000180	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: d6 Register BC: 0110 Register DE: c004 Register HL: 4004	Flags: ---C
Ticks: 00000192	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: d6 Register BC: 0110 Register DE: c004 Register HL: 4005	Flags: ---C
Ticks: 00000196	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 05 Register BC: 0110 Register DE: c004 Register HL: 4005	Flags: ---C
Ticks: 00000200	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 05 Register BC: 0110 Register DE: c004 Register HL: 4005	Flags: ---C
Ticks: 00000208	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 05 Register BC: 0110 Register DE: c005 Register HL: 4005	Flags: ---C
Ticks: 00000220	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 05 Register BC: 0110 Register DE: c005 Register HL: 4006	Flags: ---C
Ticks: 00000224	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 30 Register BC: 0110 Register DE: c005 Register HL: 4006	Flags: ---C
Ticks: 00000228	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 30 Register BC: 0110 Register DE: c005 Register HL: 4006	Flags: ---C
Ticks: 00000236	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 30 Register BC: 0110 Register DE: c006 Register HL: 4006	Flags: ---C
Ticks: 00000248	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 30 Register BC: 0110 Register DE: c006 Register HL: 4007	Flags: ---C
Ticks: 00000252	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: fc Register BC: 0110 Register DE: c006 Register HL: 4007	Flags: ---C
Ticks: 00000256	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: fc Register BC: 0110 Register DE: c006 Register HL: 4007	Flags: ---C
Ticks: 00000264	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: fc Register BC: 0110 Register DE: c007 Register HL: 4007	Flags: ---C
